voltage,current,temperature,pollution,conductor,insulator
168,3573,-3,Low,ACSR,Porcelain
501,4031,17,Medium,ACCC,Composite
336,3938,-10,Low,ACSR,Glass
172,357,34,Medium,AAAC,Glass
137,653,31,Medium,AAAC,Glass
766,4802,16,High,ACCC,Composite
86,1845,51,Low,AAAC,Composite
680,3699,41,Low,ACCC,Glass
187,1101,6,High,AAAC,Composite
532,4744,53,Medium,ACCC,Composite
280,4906,41,High,ACSR,Composite
396,2281,35,High,ACSR,Composite
524,3577,19,Low,ACCC,Glass
153,469,25,High,AAAC,Composite
438,962,46,Medium,AAAC,Composite
165,3920,32,Low,ACSR,Porcelain
729,4369,-6,Medium,ACCC,Composite
196,1433,24,High,AAAC,Composite
727,519,40,Medium,ACSR,Composite
374,396,28,High,AAAC,Composite
409,4186,44,Low,ACSR,Glass
557,2982,11,Medium,ACSR,Composite
479,890,-2,Low,AAAC,Glass
451,416,31,Medium,AAAC,Composite
257,3444,1,Low,ACSR,Porcelain
342,2880,-2,Medium,ACSR,Glass
226,243,43,Medium,AAAC,Glass
525,929,-8,Medium,ACSR,Composite
379,2774,17,Medium,ACSR,Glass
87,3564,17,High,ACSR,Composite
318,2906,30,Medium,ACSR,Glass
626,3749,19,Medium,ACCC,Composite
540,3494,31,Low,ACCC,Glass
124,1394,58,High,AAAC,Composite
576,630,24,Medium,ACSR,Composite
747,625,18,High,ACSR,Composite
541,1266,15,Low,ACSR,Glass
765,3770,45,High,ACCC,Composite
255,3438,13,Medium,ACSR,Glass
752,2210,35,Low,ACSR,Glass
628,4390,27,Medium,ACCC,Composite
632,2830,36,High,ACSR,Composite
309,1764,7,Low,AAAC,Glass
570,4190,-1,Medium,ACCC,Composite
196,952,31,Medium,AAAC,Glass
550,3196,50,Low,ACCC,Glass
712,4269,29,Medium,ACCC,Composite
86,4405,10,High,ACSR,Composite
232,324,-8,Medium,AAAC,Glass
339,3736,-2,Medium,ACSR,Glass
453,518,42,Medium,AAAC,Composite
666,508,32,Low,ACSR,Glass
381,230,53,Low,AAAC,Glass
79,3094,51,High,ACSR,Composite
307,3644,10,Medium,ACSR,Glass
411,3098,53,High,ACSR,Composite
630,2293,-6,Medium,ACSR,Composite
405,3094,44,Low,ACSR,Glass
157,1153,46,High,AAAC,Composite
432,2187,33,Medium,ACSR,Composite
520,3793,0,Low,ACCC,Glass
493,1153,0,Medium,AAAC,Composite
574,1467,-9,Low,ACSR,Glass
100,701,60,High,AAAC,Composite
271,2980,22,Medium,ACSR,Glass
146,1476,43,Low,AAAC,Composite
627,1195,4,Low,ACSR,Glass
453,3563,-4,Low,ACSR,Glass
67,2094,16,Medium,AAAC,Glass
455,1397,28,High,AAAC,Composite
631,1227,12,Medium,ACSR,Composite
171,3748,50,High,ACSR,Composite
542,2541,-7,High,ACSR,Composite
768,3208,41,High,ACCC,Composite
467,4480,10,Medium,ACSR,Composite
795,1809,24,Low,ACSR,Glass
621,827,26,Medium,ACSR,Composite
227,1653,43,Low,AAAC,Composite
267,2738,33,High,ACSR,Composite
335,2051,41,Low,ACSR,Glass
336,2121,21,Medium,ACSR,Glass
521,3406,43,Low,ACCC,Glass
527,1655,-10,Low,ACSR,Glass
792,2949,28,Medium,ACSR,Composite
317,684,51,Low,AAAC,Glass
767,3596,18,Medium,ACCC,Composite
361,1477,51,Medium,AAAC,Glass
790,4358,24,Low,ACCC,Glass
785,3356,27,High,ACCC,Composite
403,1499,59,Medium,AAAC,Composite
118,2942,38,High,ACSR,Composite
282,2421,-5,Medium,AAAC,Glass
253,4862,16,Medium,ACSR,Glass
445,4930,45,High,ACSR,Composite
558,2047,15,High,ACSR,Composite
106,1266,33,Low,AAAC,Porcelain
222,3730,56,Medium,ACSR,Glass
80,1927,53,Low,AAAC,Composite
130,835,10,High,AAAC,Composite
586,1168,15,Medium,ACSR,Composite
409,3802,16,Low,ACSR,Glass
194,1280,9,High,AAAC,Composite
713,3653,14,Low,ACCC,Glass
537,1273,31,Medium,ACSR,Composite
128,2475,0,Low,AAAC,Porcelain
204,3482,60,Low,ACSR,Composite
564,4079,30,Low,ACCC,Glass
658,3653,57,High,ACCC,Composite
457,2803,46,High,ACSR,Composite
740,2962,32,High,ACSR,Composite
484,1631,55,High,AAAC,Composite
